Use Case,LTE/5g Category,Technology Supported,Day,Time,GBR,Packet Loss Rate,Packet Delay,Slice Type
Smartphone,3,LTE/5G,wednesday,2,Non-GBR,0.001,150,eMBB
Smart City & Home,13,"IoT(LTE-M, NB-IoT)",sunday,3,GBR,0.01,300,mMTC
Smartphone,1,LTE/5G,saturday,5,GBR,1e-06,300,eMBB
AR/VR/Gaming,2,LTE/5G,friday,23,GBR,0.001,100,eMBB
Healthcare,3,"IoT(LTE-M, NB-IoT)",saturday,5,Non-GBR,1e-06,10,URLLC
Smartphone,3,LTE/5G,monday,19,GBR,1e-06,100,eMBB
Smartphone,4,LTE/5G,sunday,5,Non-GBR,0.01,75,eMBB
Smart Transportation,7,"IoT(LTE-M, NB-IoT)",saturday,10,Non-GBR,1e-06,10,URLLC
Smartphone,8,LTE/5G,saturday,1,GBR,1e-06,100,eMBB
Healthcare,14,"IoT(LTE-M, NB-IoT)",friday,20,Non-GBR,1e-06,10,URLLC
Industry 4.0,8,"IoT(LTE-M, NB-IoT)",saturday,12,Non-GBR,1e-06,10,URLLC
Smartphone,1,LTE/5G,friday,17,Non-GBR,0.01,75,eMBB
AR/VR/Gaming,7,LTE/5G,sunday,5,GBR,0.001,100,eMBB
Healthcare,21,"IoT(LTE-M, NB-IoT)",monday,8,Non-GBR,1e-06,10,URLLC
Smart Transportation,22,"IoT(LTE-M, NB-IoT)",tuesday,15,Non-GBR,1e-06,10,URLLC
AR/VR/Gaming,12,LTE/5G,saturday,22,Non-GBR,0.001,50,eMBB
Smartphone,18,LTE/5G,tuesday,7,GBR,1e-06,100,eMBB
Healthcare,8,"IoT(LTE-M, NB-IoT)",monday,1,Non-GBR,1e-06,10,URLLC
Smartphone,16,LTE/5G,tuesday,0,Non-GBR,0.001,150,eMBB
Smartphone,3,LTE/5G,tuesday,12,Non-GBR,0.01,100,eMBB
Healthcare,14,"IoT(LTE-M, NB-IoT)",wednesday,7,Non-GBR,1e-06,10,URLLC
Healthcare,19,"IoT(LTE-M, NB-IoT)",saturday,10,Non-GBR,1e-06,10,URLLC
Smartphone,1,LTE/5G,tuesday,14,Non-GBR,1e-06,300,eMBB
IoT Devices,5,"IoT(LTE-M, NB-IoT)",tuesday,6,GBR,0.01,300,mMTC
Smartphone,2,LTE/5G,friday,8,GBR,1e-06,60,eMBB
Healthcare,22,"IoT(LTE-M, NB-IoT)",saturday,12,Non-GBR,1e-06,10,URLLC
Smartphone,7,LTE/5G,wednesday,13,Non-GBR,1e-06,300,eMBB
AR/VR/Gaming,18,LTE/5G,monday,17,Non-GBR,0.001,50,eMBB
Smartphone,14,LTE/5G,monday,2,Non-GBR,0.01,100,eMBB
Smart City & Home,5,"IoT(LTE-M, NB-IoT)",thrusday,11,GBR,0.01,300,mMTC
Smart City & Home,2,"IoT(LTE-M, NB-IoT)",wednesday,4,Non-GBR,0.01,50,mMTC
Smartphone,18,LTE/5G,thrusday,5,Non-GBR,1e-06,300,eMBB
Smartphone,19,LTE/5G,tuesday,20,Non-GBR,0.001,150,eMBB
IoT Devices,15,"IoT(LTE-M, NB-IoT)",tuesday,20,GBR,0.01,300,mMTC
Public Safety,18,"IoT(LTE-M, NB-IoT)",thrusday,9,Non-GBR,1e-06,10,URLLC
Smartphone,16,LTE/5G,monday,0,Non-GBR,0.001,150,eMBB
IoT Devices,21,"IoT(LTE-M, NB-IoT)",monday,4,GBR,0.01,300,mMTC
Public Safety,19,"IoT(LTE-M, NB-IoT)",monday,11,Non-GBR,1e-06,10,URLLC
Industry 4.0,16,"IoT(LTE-M, NB-IoT)",wednesday,2,GBR,0.001,50,mMTC
Smartphone,10,LTE/5G,tuesday,16,GBR,1e-06,100,eMBB
Smartphone,15,LTE/5G,friday,6,GBR,1e-06,300,eMBB
Smartphone,5,LTE/5G,monday,14,GBR,1e-06,300,eMBB
Smartphone,5,LTE/5G,monday,15,GBR,1e-06,300,eMBB
Smartphone,8,LTE/5G,friday,10,Non-GBR,0.01,75,eMBB
Smartphone,7,LTE/5G,friday,7,GBR,1e-06,60,eMBB
Smartphone,13,LTE/5G,wednesday,23,Non-GBR,0.001,150,eMBB
Industry 4.0,18,"IoT(LTE-M, NB-IoT)",saturday,13,GBR,0.001,50,mMTC
Smartphone,16,LTE/5G,thrusday,18,Non-GBR,1e-06,300,eMBB
Industry 4.0,16,"IoT(LTE-M, NB-IoT)",tuesday,15,Non-GBR,1e-06,10,URLLC
Healthcare,8,"IoT(LTE-M, NB-IoT)",saturday,14,Non-GBR,1e-06,10,URLLC
Smartphone,12,LTE/5G,wednesday,10,GBR,1e-06,300,eMBB
IoT Devices,5,"IoT(LTE-M, NB-IoT)",friday,15,GBR,0.01,300,mMTC
Public Safety,3,"IoT(LTE-M, NB-IoT)",wednesday,8,Non-GBR,1e-06,10,URLLC
Smartphone,13,LTE/5G,tuesday,14,GBR,1e-06,100,eMBB
Industry 4.0,9,"IoT(LTE-M, NB-IoT)",monday,3,Non-GBR,1e-06,10,URLLC
Smartphone,3,LTE/5G,monday,15,GBR,1e-06,100,eMBB
Smartphone,17,LTE/5G,sunday,12,GBR,0.001,100,eMBB
AR/VR/Gaming,7,LTE/5G,thrusday,7,Non-GBR,0.001,50,eMBB
Smartphone,6,LTE/5G,saturday,6,GBR,0.001,100,eMBB
Smartphone,17,LTE/5G,saturday,7,Non-GBR,0.01,75,eMBB
Smartphone,7,LTE/5G,tuesday,20,GBR,1e-06,100,eMBB
Healthcare,7,"IoT(LTE-M, NB-IoT)",sunday,18,Non-GBR,1e-06,10,URLLC
Smart Transportation,15,"IoT(LTE-M, NB-IoT)",friday,8,Non-GBR,1e-06,10,URLLC
AR/VR/Gaming,19,LTE/5G,sunday,13,GBR,0.001,100,eMBB
Public Safety,6,"IoT(LTE-M, NB-IoT)",wednesday,17,Non-GBR,1e-06,10,URLLC
Smartphone,15,LTE/5G,sunday,15,GBR,1e-06,100,eMBB
AR/VR/Gaming,4,LTE/5G,sunday,8,GBR,0.001,100,eMBB
Smartphone,1,LTE/5G,friday,0,Non-GBR,0.01,100,eMBB
Smart City & Home,19,"IoT(LTE-M, NB-IoT)",thrusday,7,Non-GBR,0.01,50,mMTC
Healthcare,17,"IoT(LTE-M, NB-IoT)",friday,18,Non-GBR,1e-06,10,URLLC
Smartphone,5,LTE/5G,thrusday,8,Non-GBR,0.001,150,eMBB
Smart City & Home,10,"IoT(LTE-M, NB-IoT)",sunday,20,Non-GBR,0.01,50,mMTC
Smartphone,11,LTE/5G,friday,18,Non-GBR,0.01,75,eMBB
Public Safety,11,"IoT(LTE-M, NB-IoT)",tuesday,1,Non-GBR,1e-06,10,URLLC
Smart City & Home,19,"IoT(LTE-M, NB-IoT)",thrusday,13,Non-GBR,0.01,50,mMTC
IoT Devices,11,"IoT(LTE-M, NB-IoT)",friday,16,GBR,0.01,300,mMTC
AR/VR/Gaming,16,LTE/5G,monday,12,GBR,0.001,100,eMBB
Smart City & Home,8,"IoT(LTE-M, NB-IoT)",saturday,17,GBR,0.01,300,mMTC
Smartphone,7,LTE/5G,thrusday,0,GBR,1e-06,100,eMBB
Industry 4.0,6,"IoT(LTE-M, NB-IoT)",wednesday,9,Non-GBR,1e-06,10,URLLC
Smartphone,8,LTE/5G,sunday,6,Non-GBR,1e-06,300,eMBB
Smartphone,7,LTE/5G,friday,13,Non-GBR,0.001,150,eMBB
Smartphone,10,LTE/5G,tuesday,0,Non-GBR,1e-06,300,eMBB
Smart Transportation,14,"IoT(LTE-M, NB-IoT)",sunday,8,Non-GBR,1e-06,10,URLLC
Smartphone,14,LTE/5G,sunday,11,GBR,1e-06,100,eMBB
Smartphone,3,LTE/5G,thrusday,12,Non-GBR,0.001,150,eMBB
AR/VR/Gaming,11,LTE/5G,monday,4,Non-GBR,0.001,50,eMBB
Smartphone,16,LTE/5G,wednesday,21,Non-GBR,0.01,100,eMBB
Healthcare,17,"IoT(LTE-M, NB-IoT)",wednesday,17,Non-GBR,1e-06,10,URLLC
Healthcare,14,"IoT(LTE-M, NB-IoT)",wednesday,10,Non-GBR,1e-06,10,URLLC
Smartphone,8,LTE/5G,saturday,14,Non-GBR,1e-06,300,eMBB
Industry 4.0,1,"IoT(LTE-M, NB-IoT)",sunday,4,Non-GBR,1e-06,10,URLLC
Smart City & Home,20,"IoT(LTE-M, NB-IoT)",thrusday,8,GBR,0.01,300,mMTC
Smart Transportation,21,"IoT(LTE-M, NB-IoT)",wednesday,19,Non-GBR,1e-06,10,URLLC
Smart City & Home,10,"IoT(LTE-M, NB-IoT)",tuesday,1,GBR,0.01,300,mMTC
Smartphone,6,LTE/5G,thrusday,20,GBR,1e-06,60,eMBB
Industry 4.0,3,"IoT(LTE-M, NB-IoT)",monday,22,Non-GBR,1e-06,10,URLLC
Smartphone,14,LTE/5G,wednesday,22,GBR,0.001,100,eMBB
Public Safety,14,"IoT(LTE-M, NB-IoT)",friday,9,Non-GBR,1e-06,10,URLLC
Smartphone,9,LTE/5G,wednesday,22,Non-GBR,0.001,150,eMBB
Healthcare,21,"IoT(LTE-M, NB-IoT)",thrusday,22,Non-GBR,1e-06,10,URLLC
Smart City & Home,14,"IoT(LTE-M, NB-IoT)",friday,11,GBR,0.01,300,mMTC
Public Safety,4,"IoT(LTE-M, NB-IoT)",saturday,11,Non-GBR,1e-06,10,URLLC
IoT Devices,18,"IoT(LTE-M, NB-IoT)",wednesday,14,GBR,0.01,300,mMTC
Smartphone,7,LTE/5G,friday,16,Non-GBR,0.001,150,eMBB
IoT Devices,18,"IoT(LTE-M, NB-IoT)",wednesday,15,GBR,0.01,300,mMTC
Industry 4.0,7,"IoT(LTE-M, NB-IoT)",tuesday,4,GBR,0.001,50,mMTC
Smartphone,1,LTE/5G,friday,14,Non-GBR,0.001,150,eMBB
Smartphone,18,LTE/5G,wednesday,13,GBR,1e-06,60,eMBB
Public Safety,11,"IoT(LTE-M, NB-IoT)",sunday,12,Non-GBR,1e-06,10,URLLC
Smartphone,20,LTE/5G,thrusday,14,Non-GBR,0.001,150,eMBB
Smartphone,9,LTE/5G,friday,1,Non-GBR,0.01,100,eMBB
Smartphone,2,LTE/5G,tuesday,18,Non-GBR,1e-06,300,eMBB
AR/VR/Gaming,10,LTE/5G,friday,3,Non-GBR,0.001,50,eMBB
Smartphone,16,LTE/5G,sunday,12,GBR,1e-06,300,eMBB
Smartphone,20,LTE/5G,saturday,5,GBR,0.001,100,eMBB
Industry 4.0,17,"IoT(LTE-M, NB-IoT)",saturday,22,Non-GBR,1e-06,10,URLLC
Smartphone,6,LTE/5G,saturday,7,Non-GBR,0.001,150,eMBB
Smartphone,3,LTE/5G,sunday,5,Non-GBR,1e-06,300,eMBB
Smartphone,14,LTE/5G,wednesday,15,Non-GBR,0.01,75,eMBB
Smart Transportation,14,"IoT(LTE-M, NB-IoT)",wednesday,2,Non-GBR,1e-06,10,URLLC
Smartphone,19,LTE/5G,saturday,2,Non-GBR,0.01,75,eMBB
AR/VR/Gaming,8,LTE/5G,wednesday,2,GBR,0.001,100,eMBB
Smartphone,4,LTE/5G,monday,2,GBR,1e-06,100,eMBB
Healthcare,14,"IoT(LTE-M, NB-IoT)",saturday,12,Non-GBR,1e-06,10,URLLC
Industry 4.0,9,"IoT(LTE-M, NB-IoT)",wednesday,7,GBR,0.001,50,mMTC
Smartphone,2,LTE/5G,tuesday,5,GBR,1e-06,300,eMBB
Smartphone,6,LTE/5G,sunday,3,GBR,1e-06,300,eMBB
Smart Transportation,3,"IoT(LTE-M, NB-IoT)",friday,0,Non-GBR,1e-06,10,URLLC
Healthcare,15,"IoT(LTE-M, NB-IoT)",friday,14,Non-GBR,1e-06,10,URLLC
Smartphone,8,LTE/5G,wednesday,1,Non-GBR,0.01,75,eMBB
Smartphone,18,LTE/5G,wednesday,0,Non-GBR,0.001,150,eMBB
Industry 4.0,20,"IoT(LTE-M, NB-IoT)",thrusday,7,GBR,0.001,50,mMTC
Public Safety,4,"IoT(LTE-M, NB-IoT)",saturday,2,Non-GBR,1e-06,10,URLLC
Smart City & Home,15,"IoT(LTE-M, NB-IoT)",saturday,0,Non-GBR,0.01,50,mMTC
Smart Transportation,6,"IoT(LTE-M, NB-IoT)",wednesday,22,Non-GBR,1e-06,10,URLLC
Smartphone,19,LTE/5G,friday,16,GBR,1e-06,300,eMBB
IoT Devices,2,"IoT(LTE-M, NB-IoT)",tuesday,20,GBR,0.01,300,mMTC
Smartphone,5,LTE/5G,monday,10,GBR,1e-06,100,eMBB
Smartphone,6,LTE/5G,thrusday,19,Non-GBR,0.001,150,eMBB
Smartphone,20,LTE/5G,thrusday,22,Non-GBR,0.01,100,eMBB
Industry 4.0,4,"IoT(LTE-M, NB-IoT)",monday,0,Non-GBR,1e-06,10,URLLC
Industry 4.0,16,"IoT(LTE-M, NB-IoT)",saturday,1,GBR,0.001,50,mMTC
Smartphone,16,LTE/5G,friday,7,GBR,0.001,100,eMBB
IoT Devices,7,"IoT(LTE-M, NB-IoT)",saturday,18,GBR,0.01,300,mMTC
Industry 4.0,1,"IoT(LTE-M, NB-IoT)",monday,5,GBR,0.001,50,mMTC
Smart Transportation,11,"IoT(LTE-M, NB-IoT)",thrusday,0,Non-GBR,1e-06,10,URLLC
Industry 4.0,21,"IoT(LTE-M, NB-IoT)",thrusday,13,GBR,0.001,50,mMTC
Smart City & Home,9,"IoT(LTE-M, NB-IoT)",tuesday,5,Non-GBR,0.01,50,mMTC
Smartphone,10,LTE/5G,monday,6,GBR,0.001,100,eMBB
Industry 4.0,8,"IoT(LTE-M, NB-IoT)",friday,22,Non-GBR,1e-06,10,URLLC
Smart City & Home,12,"IoT(LTE-M, NB-IoT)",tuesday,12,Non-GBR,0.01,50,mMTC
Smart Transportation,3,"IoT(LTE-M, NB-IoT)",friday,2,Non-GBR,1e-06,10,URLLC
Smartphone,11,LTE/5G,wednesday,16,GBR,1e-06,60,eMBB
IoT Devices,8,"IoT(LTE-M, NB-IoT)",tuesday,18,GBR,0.01,300,mMTC
AR/VR/Gaming,15,LTE/5G,friday,2,GBR,0.001,100,eMBB
Industry 4.0,22,"IoT(LTE-M, NB-IoT)",friday,6,Non-GBR,1e-06,10,URLLC
Smartphone,8,LTE/5G,saturday,10,Non-GBR,0.01,75,eMBB
Smartphone,17,LTE/5G,saturday,9,GBR,1e-06,100,eMBB
Smart City & Home,4,"IoT(LTE-M, NB-IoT)",thrusday,21,GBR,0.01,300,mMTC
AR/VR/Gaming,18,LTE/5G,tuesday,14,Non-GBR,0.001,50,eMBB
Public Safety,21,"IoT(LTE-M, NB-IoT)",thrusday,0,Non-GBR,1e-06,10,URLLC
Industry 4.0,21,"IoT(LTE-M, NB-IoT)",monday,11,GBR,0.001,50,mMTC
Smartphone,5,LTE/5G,thrusday,15,Non-GBR,0.01,75,eMBB
Smartphone,3,LTE/5G,tuesday,19,Non-GBR,1e-06,300,eMBB
Smartphone,17,LTE/5G,saturday,12,Non-GBR,0.001,150,eMBB
Smartphone,18,LTE/5G,friday,19,Non-GBR,0.01,100,eMBB
IoT Devices,2,"IoT(LTE-M, NB-IoT)",saturday,8,GBR,0.01,300,mMTC
AR/VR/Gaming,7,LTE/5G,thrusday,15,GBR,0.001,100,eMBB
Smartphone,2,LTE/5G,thrusday,21,GBR,1e-06,300,eMBB
Smart City & Home,18,"IoT(LTE-M, NB-IoT)",tuesday,15,GBR,0.01,300,mMTC
AR/VR/Gaming,5,LTE/5G,saturday,19,Non-GBR,0.001,50,eMBB
Smartphone,17,LTE/5G,saturday,5,Non-GBR,0.001,150,eMBB
Smartphone,19,LTE/5G,wednesday,21,Non-GBR,0.01,75,eMBB
Smartphone,7,LTE/5G,friday,14,Non-GBR,0.01,100,eMBB
Smartphone,5,LTE/5G,thrusday,9,GBR,1e-06,60,eMBB
Smart City & Home,14,"IoT(LTE-M, NB-IoT)",friday,20,GBR,0.01,300,mMTC
Smart City & Home,15,"IoT(LTE-M, NB-IoT)",monday,19,GBR,0.01,300,mMTC
Smartphone,14,LTE/5G,friday,0,Non-GBR,1e-06,300,eMBB
Smartphone,12,LTE/5G,wednesday,5,Non-GBR,0.01,100,eMBB
Smartphone,14,LTE/5G,friday,23,Non-GBR,0.01,100,eMBB
Industry 4.0,1,"IoT(LTE-M, NB-IoT)",thrusday,22,Non-GBR,1e-06,10,URLLC
AR/VR/Gaming,16,LTE/5G,saturday,16,Non-GBR,0.001,50,eMBB
Smartphone,16,LTE/5G,tuesday,6,GBR,0.001,100,eMBB
Smartphone,19,LTE/5G,wednesday,7,GBR,0.001,100,eMBB
Smartphone,7,LTE/5G,friday,13,Non-GBR,1e-06,300,eMBB
Smartphone,19,LTE/5G,sunday,17,Non-GBR,0.01,75,eMBB
Smart City & Home,18,"IoT(LTE-M, NB-IoT)",saturday,19,Non-GBR,0.01,50,mMTC
Public Safety,6,"IoT(LTE-M, NB-IoT)",friday,22,Non-GBR,1e-06,10,URLLC
Smartphone,20,LTE/5G,wednesday,7,GBR,0.001,100,eMBB
Smart City & Home,8,"IoT(LTE-M, NB-IoT)",wednesday,7,GBR,0.01,300,mMTC
AR/VR/Gaming,13,LTE/5G,saturday,10,GBR,0.001,100,eMBB
Smartphone,1,LTE/5G,monday,15,Non-GBR,0.01,100,eMBB
Public Safety,22,"IoT(LTE-M, NB-IoT)",sunday,20,Non-GBR,1e-06,10,URLLC
Smart City & Home,18,"IoT(LTE-M, NB-IoT)",monday,0,GBR,0.01,300,mMTC
IoT Devices,22,"IoT(LTE-M, NB-IoT)",saturday,16,GBR,0.01,300,mMTC
Healthcare,6,"IoT(LTE-M, NB-IoT)",friday,9,Non-GBR,1e-06,10,URLLC
Smartphone,6,LTE/5G,friday,21,GBR,1e-06,300,eMBB
Smart City & Home,15,"IoT(LTE-M, NB-IoT)",thrusday,12,Non-GBR,0.01,50,mMTC
Healthcare,10,"IoT(LTE-M, NB-IoT)",monday,16,Non-GBR,1e-06,10,URLLC
Smart City & Home,4,"IoT(LTE-M, NB-IoT)",saturday,15,Non-GBR,0.01,50,mMTC
Smart Transportation,8,"IoT(LTE-M, NB-IoT)",thrusday,2,Non-GBR,1e-06,10,URLLC
IoT Devices,8,"IoT(LTE-M, NB-IoT)",monday,4,GBR,0.01,300,mMTC
Smartphone,16,LTE/5G,tuesday,2,GBR,0.001,100,eMBB
Smart City & Home,18,"IoT(LTE-M, NB-IoT)",friday,7,Non-GBR,0.01,50,mMTC
Smartphone,6,LTE/5G,sunday,15,GBR,1e-06,60,eMBB
Smartphone,20,LTE/5G,wednesday,23,GBR,1e-06,300,eMBB
IoT Devices,14,"IoT(LTE-M, NB-IoT)",saturday,9,GBR,0.01,300,mMTC
AR/VR/Gaming,10,LTE/5G,friday,13,Non-GBR,0.001,50,eMBB
Smart City & Home,12,"IoT(LTE-M, NB-IoT)",wednesday,1,Non-GBR,0.01,50,mMTC
Industry 4.0,22,"IoT(LTE-M, NB-IoT)",monday,7,GBR,0.001,50,mMTC
Smartphone,7,LTE/5G,wednesday,11,GBR,1e-06,60,eMBB
Smartphone,12,LTE/5G,monday,16,GBR,0.001,100,eMBB
Smartphone,11,LTE/5G,thrusday,8,Non-GBR,0.01,75,eMBB
Smartphone,1,LTE/5G,sunday,16,Non-GBR,0.001,150,eMBB
Industry 4.0,16,"IoT(LTE-M, NB-IoT)",tuesday,8,Non-GBR,1e-06,10,URLLC
Smartphone,3,LTE/5G,monday,13,Non-GBR,1e-06,300,eMBB
AR/VR/Gaming,15,LTE/5G,saturday,3,GBR,0.001,100,eMBB
Smart City & Home,22,"IoT(LTE-M, NB-IoT)",tuesday,4,GBR,0.01,300,mMTC
Smart City & Home,14,"IoT(LTE-M, NB-IoT)",friday,20,Non-GBR,0.01,50,mMTC
AR/VR/Gaming,6,LTE/5G,tuesday,6,GBR,0.001,100,eMBB
Public Safety,8,"IoT(LTE-M, NB-IoT)",saturday,1,Non-GBR,1e-06,10,URLLC
Industry 4.0,19,"IoT(LTE-M, NB-IoT)",thrusday,6,GBR,0.001,50,mMTC
AR/VR/Gaming,7,LTE/5G,wednesday,3,Non-GBR,0.001,50,eMBB
IoT Devices,14,"IoT(LTE-M, NB-IoT)",thrusday,0,GBR,0.01,300,mMTC
Smartphone,12,LTE/5G,friday,9,GBR,0.001,100,eMBB
Smartphone,1,LTE/5G,wednesday,22,GBR,0.001,100,eMBB
Smartphone,6,LTE/5G,tuesday,9,Non-GBR,0.01,100,eMBB
AR/VR/Gaming,6,LTE/5G,monday,3,GBR,0.001,100,eMBB
Smart City & Home,10,"IoT(LTE-M, NB-IoT)",friday,15,GBR,0.01,300,mMTC
Smart Transportation,18,"IoT(LTE-M, NB-IoT)",tuesday,8,Non-GBR,1e-06,10,URLLC
Smart Transportation,19,"IoT(LTE-M, NB-IoT)",thrusday,5,Non-GBR,1e-06,10,URLLC
Smartphone,13,LTE/5G,monday,0,Non-GBR,0.001,150,eMBB
Smart City & Home,16,"IoT(LTE-M, NB-IoT)",tuesday,21,GBR,0.01,300,mMTC
Healthcare,20,"IoT(LTE-M, NB-IoT)",tuesday,10,Non-GBR,1e-06,10,URLLC
Smartphone,9,LTE/5G,sunday,14,Non-GBR,0.001,150,eMBB
Public Safety,3,"IoT(LTE-M, NB-IoT)",thrusday,4,Non-GBR,1e-06,10,URLLC
Smart City & Home,22,"IoT(LTE-M, NB-IoT)",monday,21,Non-GBR,0.01,50,mMTC
Smartphone,7,LTE/5G,monday,12,GBR,1e-06,100,eMBB
Industry 4.0,16,"IoT(LTE-M, NB-IoT)",thrusday,16,GBR,0.001,50,mMTC
Smart Transportation,1,"IoT(LTE-M, NB-IoT)",saturday,22,Non-GBR,1e-06,10,URLLC
Smart City & Home,5,"IoT(LTE-M, NB-IoT)",sunday,17,GBR,0.01,300,mMTC
IoT Devices,1,"IoT(LTE-M, NB-IoT)",sunday,4,GBR,0.01,300,mMTC
Industry 4.0,14,"IoT(LTE-M, NB-IoT)",tuesday,8,GBR,0.001,50,mMTC
Smart Transportation,12,"IoT(LTE-M, NB-IoT)",sunday,1,Non-GBR,1e-06,10,URLLC
Smartphone,19,LTE/5G,friday,18,GBR,1e-06,100,eMBB
Industry 4.0,5,"IoT(LTE-M, NB-IoT)",saturday,19,GBR,0.001,50,mMTC
Industry 4.0,4,"IoT(LTE-M, NB-IoT)",thrusday,8,GBR,0.001,50,mMTC
AR/VR/Gaming,11,LTE/5G,sunday,17,Non-GBR,0.001,50,eMBB
AR/VR/Gaming,20,LTE/5G,tuesday,3,GBR,0.001,100,eMBB
AR/VR/Gaming,19,LTE/5G,sunday,12,GBR,0.001,100,eMBB
Smartphone,4,LTE/5G,thrusday,4,GBR,1e-06,60,eMBB
Smart City & Home,12,"IoT(LTE-M, NB-IoT)",sunday,20,Non-GBR,0.01,50,mMTC
IoT Devices,6,"IoT(LTE-M, NB-IoT)",tuesday,22,GBR,0.01,300,mMTC
Smartphone,6,LTE/5G,saturday,18,Non-GBR,0.01,75,eMBB
Smartphone,19,LTE/5G,wednesday,20,GBR,1e-06,60,eMBB
Industry 4.0,9,"IoT(LTE-M, NB-IoT)",friday,2,Non-GBR,1e-06,10,URLLC
Smartphone,17,LTE/5G,tuesday,14,GBR,1e-06,300,eMBB
Smartphone,5,LTE/5G,monday,15,GBR,1e-06,100,eMBB
Public Safety,21,"IoT(LTE-M, NB-IoT)",sunday,19,Non-GBR,1e-06,10,URLLC
Smart Transportation,8,"IoT(LTE-M, NB-IoT)",wednesday,23,Non-GBR,1e-06,10,URLLC
Smartphone,17,LTE/5G,tuesday,22,GBR,1e-06,300,eMBB
AR/VR/Gaming,16,LTE/5G,tuesday,1,GBR,0.001,100,eMBB
Healthcare,3,"IoT(LTE-M, NB-IoT)",tuesday,22,Non-GBR,1e-06,10,URLLC
Smartphone,20,LTE/5G,wednesday,3,Non-GBR,0.001,150,eMBB
Smartphone,2,LTE/5G,thrusday,7,GBR,0.001,100,eMBB
Industry 4.0,1,"IoT(LTE-M, NB-IoT)",monday,23,Non-GBR,1e-06,10,URLLC
Smartphone,13,LTE/5G,tuesday,23,GBR,1e-06,60,eMBB
Smartphone,9,LTE/5G,tuesday,7,GBR,1e-06,100,eMBB
Smartphone,17,LTE/5G,tuesday,2,Non-GBR,0.01,100,eMBB
Industry 4.0,1,"IoT(LTE-M, NB-IoT)",thrusday,20,GBR,0.001,50,mMTC
Healthcare,5,"IoT(LTE-M, NB-IoT)",saturday,9,Non-GBR,1e-06,10,URLLC
AR/VR/Gaming,18,LTE/5G,thrusday,17,Non-GBR,0.001,50,eMBB
Smartphone,16,LTE/5G,saturday,22,Non-GBR,0.001,150,eMBB
Smart Transportation,6,"IoT(LTE-M, NB-IoT)",wednesday,10,Non-GBR,1e-06,10,URLLC
Smartphone,2,LTE/5G,thrusday,23,GBR,1e-06,60,eMBB
Smartphone,19,LTE/5G,monday,17,GBR,0.001,100,eMBB
Smart Transportation,7,"IoT(LTE-M, NB-IoT)",sunday,11,Non-GBR,1e-06,10,URLLC
Smart Transportation,11,"IoT(LTE-M, NB-IoT)",thrusday,9,Non-GBR,1e-06,10,URLLC
Smartphone,6,LTE/5G,sunday,14,Non-GBR,0.001,150,eMBB
Smartphone,7,LTE/5G,tuesday,3,GBR,1e-06,100,eMBB
Smartphone,13,LTE/5G,thrusday,8,Non-GBR,1e-06,300,eMBB
AR/VR/Gaming,12,LTE/5G,thrusday,22,GBR,0.001,100,eMBB
